i,is_trade,timestamp,symbol,side,model,R,risk_usd,pnl,equity
35,1,2026-01-02T17:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.804515806006393,53.609031612012785,10775.41535401457
36,1,2026-01-02T18:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,26.938538385036427,-26.938538385036427,10748.476815629534
37,1,2026-01-02T18:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.871192039073836,53.74238407814767,10802.219199707682
38,1,2026-01-02T18:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,27.005547999269208,-27.005547999269208,10775.213651708413
39,1,2026-01-02T19:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,26.93803412927103,-26.93803412927103,10748.275617579142
40,1,2026-01-02T19:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.870689043947856,53.74137808789571,10802.016995667038
41,1,2026-01-02T19:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,27.005042489167597,-27.005042489167597,10775.011953177871
42,1,2026-01-02T19:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,26.937529882944677,-26.937529882944677,10748.074423294926
43,1,2026-01-02T20:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.870186058237316,-26.870186058237316,10721.204237236689
44,1,2026-01-02T20:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,26.803010593091724,-26.803010593091724,10694.401226643597
45,1,2026-01-02T20:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.73600306660899,-26.73600306660899,10667.665223576987
46,1,2026-01-02T21:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.66916305894247,53.33832611788494,10721.003549694871
47,1,2026-01-02T22:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.80250887423718,-26.80250887423718,10694.201040820633
48,1,2026-01-02T22:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.735502602051582,-26.735502602051582,10667.465538218581
49,1,2026-01-02T23:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.668663845546455,-26.668663845546455,10640.796874373034
50,1,2026-01-02T23:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.601992185932588,-26.601992185932588,10614.194882187101
51,1,2026-01-03T00:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.535487205467753,53.070974410935506,10667.265856598036
52,1,2026-01-03T00:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.668164641495093,-26.668164641495093,10640.597691956542
53,1,2026-01-03T01:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.601494229891355,-26.601494229891355,10613.99619772665
54,1,2026-01-03T04:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.534990494316627,53.069980988633255,10667.066178715284
55,1,2026-01-03T04:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.66766544678821,53.33533089357642,10720.40150960886
56,1,2026-01-03T05:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.801003774022153,53.602007548044305,10774.003517156905
57,1,2026-01-03T05:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.935008792892262,-26.935008792892262,10747.068508364013
58,1,2026-01-04T00:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,26.867671270910034,-26.867671270910034,10720.200837093103
59,1,2026-01-04T00:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,26.80050209273276,53.60100418546552,10773.80184127857
60,1,2026-01-04T01:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,26.934504603196423,-26.934504603196423,10746.867336675374
61,1,2026-01-04T01:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,26.867168341688433,-26.867168341688433,10720.000168333685
62,1,2026-01-04T01:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,26.800000420834213,-26.800000420834213,10693.200167912852
63,1,2026-01-04T02:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,26.73300041978213,-26.73300041978213,10666.467167493069
64,1,2026-01-04T02:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,26.666167918732672,-26.666167918732672,10639.800999574336
65,1,2026-01-04T03:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,26.59950249893584,-26.59950249893584,10613.2014970754
66,1,2026-01-04T03:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,26.533003742688503,-26.533003742688503,10586.668493332712
67,1,2026-01-04T04:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,26.46667123333178,-26.46667123333178,10560.201822099381
68,1,2026-01-04T06:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.400504555248453,-26.400504555248453,10533.801317544134
69,1,2026-01-04T07:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.334503293860337,-26.334503293860337,10507.466814250274
70,1,2026-01-04T07:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.268667035625686,-26.268667035625686,10481.198147214649
71,1,2026-01-04T08:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.202995368036625,-26.202995368036625,10454.995151846613
72,1,2026-01-04T08:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.137487879616533,-26.137487879616533,10428.857663966997
73,1,2026-01-04T12:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.072144159917492,52.144288319834985,10481.001952286832
74,1,2026-01-04T12:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.20250488071708,52.40500976143416,10533.406962048266
75,1,2026-01-04T13:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.333517405120666,-26.333517405120666,10507.073444643145
76,1,2026-01-04T13:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.267683611607865,-26.267683611607865,10480.805761031537
77,1,2026-01-04T14:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.202014402578843,-26.202014402578843,10454.603746628958
78,1,2026-01-05T00:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,26.136509366572398,52.273018733144795,10506.876765362103
79,1,2026-01-05T01:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,26.26719191340526,52.53438382681052,10559.411149188914
80,1,2026-01-05T01:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.398527872972288,52.797055745944576,10612.20820493486
81,1,2026-01-05T01:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,26.530520512337148,-26.530520512337148,10585.677684422522
82,1,2026-01-05T01:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.464194211056306,52.92838842211261,10638.606072844635
83,1,2026-01-05T01:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,26.596515182111588,-26.596515182111588,10612.009557662524
84,1,2026-01-05T01:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,26.53002389415631,53.06004778831262,10665.069605450837
85,1,2026-01-05T02:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,26.662674013627093,-26.662674013627093,10638.40693143721
86,1,2026-01-05T02:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.596017328593025,-26.596017328593025,10611.810914108617
87,1,2026-01-05T02:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,26.52952728527154,53.05905457054308,10664.86996867916
88,1,2026-01-05T02:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.6621749216979,-26.6621749216979,10638.207793757463
89,1,2026-01-05T03:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,26.59551948439366,-26.59551948439366,10611.61227427307
90,1,2026-01-05T03:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.529030685682674,-26.529030685682674,10585.083243587387
