i,timestamp,symbol,side,model,R,risk_usd,pnl,equity
16,2026-01-02T10:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,131.90855583914794,-131.90855583914794,13058.947028075645
17,2026-01-02T10:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,130.58947028075644,-130.58947028075644,12928.357557794889
18,2026-01-02T11:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,129.28357557794888,-129.28357557794888,12799.07398221694
19,2026-01-02T11:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,127.9907398221694,-127.9907398221694,12671.08324239477
20,2026-01-02T14:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,126.7108324239477,253.4216648478954,12924.504907242666
21,2026-01-02T14:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,129.24504907242667,258.49009814485333,13182.99500538752
22,2026-01-02T15:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,131.8299500538752,-131.8299500538752,13051.165055333644
23,2026-01-02T15:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,130.51165055333644,-130.51165055333644,12920.653404780307
24,2026-01-02T15:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,129.20653404780307,-129.20653404780307,12791.446870732503
25,2026-01-02T16:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,127.91446870732503,255.82893741465006,13047.275808147153
26,2026-01-02T16:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,130.47275808147154,-130.47275808147154,12916.80305006568
27,2026-01-02T16:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,129.1680305006568,-129.1680305006568,12787.635019565023
28,2026-01-02T16:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,127.87635019565023,255.75270039130046,13043.387719956323
29,2026-01-02T16:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,130.43387719956323,-130.43387719956323,12912.95384275676
30,2026-01-02T17:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,129.1295384275676,258.2590768551352,13171.212919611895
31,2026-01-02T17:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,131.71212919611895,263.4242583922379,13434.637178004134
32,2026-01-02T17:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,134.34637178004135,268.6927435600827,13703.329921564216
33,2026-01-02T17:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,137.03329921564216,-137.03329921564216,13566.296622348575
34,2026-01-02T17:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,135.66296622348574,-135.66296622348574,13430.633656125088
35,2026-01-02T17:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,134.30633656125087,268.61267312250175,13699.24632924759
36,2026-01-02T18:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,136.9924632924759,-136.9924632924759,13562.253865955114
37,2026-01-02T18:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,135.62253865955114,271.2450773191023,13833.498943274217
38,2026-01-02T18:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,138.33498943274216,-138.33498943274216,13695.163953841475
39,2026-01-02T19:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,136.95163953841475,-136.95163953841475,13558.21231430306
40,2026-01-02T19:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,135.5821231430306,271.1642462860612,13829.376560589122
41,2026-01-02T19:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,138.29376560589122,-138.29376560589122,13691.082794983231
42,2026-01-02T19:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,136.9108279498323,-136.9108279498323,13554.171967033399
43,2026-01-02T20:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,135.54171967033398,-135.54171967033398,13418.630247363064
44,2026-01-02T20:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,134.18630247363063,-134.18630247363063,13284.443944889434
45,2026-01-02T20:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,132.84443944889435,-132.84443944889435,13151.59950544054
46,2026-01-02T21:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,131.5159950544054,263.0319901088108,13414.63149554935
47,2026-01-02T22:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,134.14631495549352,-134.14631495549352,13280.485180593858
48,2026-01-02T22:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,132.80485180593857,-132.80485180593857,13147.68032878792
49,2026-01-02T23:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,131.4768032878792,-131.4768032878792,13016.203525500041
50,2026-01-02T23:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,130.1620352550004,-130.1620352550004,12886.041490245041
51,2026-01-03T00:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,128.8604149024504,257.7208298049008,13143.762320049942
52,2026-01-03T00:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,131.43762320049942,-131.43762320049942,13012.324696849442
53,2026-01-03T01:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,130.1232469684944,-130.1232469684944,12882.201449880948
54,2026-01-03T04:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,128.82201449880947,257.64402899761893,13139.845478878566
55,2026-01-03T04:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,131.39845478878567,262.79690957757134,13402.642388456137
56,2026-01-03T05:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,134.02642388456138,268.05284776912276,13670.69523622526
57,2026-01-03T05:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,136.7069523622526,-136.7069523622526,13533.988283863007
58,2026-01-04T00:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,135.33988283863007,-135.33988283863007,13398.648401024377
59,2026-01-04T00:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,133.98648401024377,267.97296802048754,13666.621369044864
60,2026-01-04T01:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,136.66621369044864,-136.66621369044864,13529.955155354415
61,2026-01-04T01:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,135.29955155354415,-135.29955155354415,13394.655603800871
62,2026-01-04T01:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,133.9465560380087,-133.9465560380087,13260.709047762863
63,2026-01-04T02:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,132.60709047762862,-132.60709047762862,13128.101957285235
64,2026-01-04T02:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,131.28101957285236,-131.28101957285236,12996.820937712382
65,2026-01-04T03:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,129.96820937712383,-129.96820937712383,12866.852728335258
66,2026-01-04T03:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,128.66852728335257,-128.66852728335257,12738.184201051905
67,2026-01-04T04:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,127.38184201051905,-127.38184201051905,12610.802359041385
68,2026-01-04T06:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,126.10802359041385,-126.10802359041385,12484.694335450971
69,2026-01-04T07:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,124.84694335450972,-124.84694335450972,12359.84739209646
70,2026-01-04T07:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,123.59847392096461,-123.59847392096461,12236.248918175495
71,2026-01-04T08:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,122.36248918175495,-122.36248918175495,12113.886428993741
72,2026-01-04T08:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,121.13886428993742,-121.13886428993742,11992.747564703803
73,2026-01-04T12:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,119.92747564703802,239.85495129407605,12232.602515997878
74,2026-01-04T12:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,122.32602515997878,244.65205031995757,12477.254566317835
75,2026-01-04T13:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,124.77254566317835,-124.77254566317835,12352.482020654657
76,2026-01-04T13:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,123.52482020654658,-123.52482020654658,12228.95720044811
77,2026-01-04T14:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,122.2895720044811,-122.2895720044811,12106.667628443629
78,2026-01-05T00:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,121.0666762844363,242.1333525688726,12348.800981012502
79,2026-01-05T01:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,123.48800981012502,246.97601962025004,12595.777000632752
80,2026-01-05T01:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,125.95777000632752,251.91554001265504,12847.692540645407
81,2026-01-05T01:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,128.47692540645406,-128.47692540645406,12719.215615238953
82,2026-01-05T01:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,127.19215615238953,254.38431230477906,12973.599927543732
83,2026-01-05T01:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,129.7359992754373,-129.7359992754373,12843.863928268294
84,2026-01-05T01:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,128.43863928268294,256.8772785653659,13100.74120683366
85,2026-01-05T02:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,131.0074120683366,-131.0074120683366,12969.733794765323
86,2026-01-05T02:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,129.69733794765324,-129.69733794765324,12840.03645681767
87,2026-01-05T02:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,128.4003645681767,256.8007291363534,13096.837185954024
88,2026-01-05T02:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,130.96837185954024,-130.96837185954024,12965.868814094483
89,2026-01-05T03:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,129.65868814094483,-129.65868814094483,12836.210125953537
90,2026-01-05T03:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,128.36210125953536,-128.36210125953536,12707.848024694002
