i,is_trade,timestamp,symbol,side,model,R,risk_usd,pnl,equity
67,1,2026-01-04T04:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,124.88415883384218,-124.88415883384218,12363.531724550376
68,1,2026-01-04T06:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,123.63531724550376,-123.63531724550376,12239.896407304872
69,1,2026-01-04T07:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,122.39896407304872,-122.39896407304872,12117.497443231823
70,1,2026-01-04T07:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,121.17497443231824,-121.17497443231824,11996.322468799504
71,1,2026-01-04T08:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,119.96322468799505,-119.96322468799505,11876.359244111509
72,1,2026-01-04T08:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,118.7635924411151,-118.7635924411151,11757.595651670394
73,1,2026-01-04T12:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,117.57595651670394,235.15191303340788,11992.7475647038
74,1,2026-01-04T12:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,119.92747564703801,239.85495129407602,12232.602515997876
75,1,2026-01-04T13:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,122.32602515997877,-122.32602515997877,12110.276490837898
76,1,2026-01-04T13:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,121.10276490837897,-121.10276490837897,11989.173725929519
77,1,2026-01-04T14:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,119.89173725929518,-119.89173725929518,11869.281988670224
78,1,2026-01-05T00:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,118.69281988670224,237.38563977340448,12106.667628443629
79,1,2026-01-05T01:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,121.0666762844363,242.1333525688726,12348.800981012502
80,1,2026-01-05T01:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,123.48800981012502,246.97601962025004,12595.777000632752
81,1,2026-01-05T01:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,125.95777000632752,-125.95777000632752,12469.819230626425
82,1,2026-01-05T01:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,124.69819230626425,249.3963846125285,12719.215615238953
83,1,2026-01-05T01:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,127.19215615238953,-127.19215615238953,12592.023459086564
84,1,2026-01-05T01:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,125.92023459086565,251.8404691817313,12843.863928268294
85,1,2026-01-05T02:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,128.43863928268294,-128.43863928268294,12715.42528898561
86,1,2026-01-05T02:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,127.15425288985611,-127.15425288985611,12588.271036095755
87,1,2026-01-05T02:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,125.88271036095756,251.76542072191512,12840.03645681767
88,1,2026-01-05T02:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,128.4003645681767,-128.4003645681767,12711.636092249493
89,1,2026-01-05T03:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,127.11636092249493,-127.11636092249493,12584.519731326998
90,1,2026-01-05T03:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,125.84519731326999,-125.84519731326999,12458.674534013728
91,1,2026-01-05T03:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,124.58674534013728,-124.58674534013728,12334.08778867359
92,1,2026-01-05T03:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,123.34087788673591,-123.34087788673591,12210.746910786855
93,1,2026-01-05T14:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,122.10746910786855,244.2149382157371,12454.961849002591
94,1,2026-01-05T15:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,124.54961849002592,-124.54961849002592,12330.412230512566
95,1,2026-01-05T15:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,123.30412230512566,246.60824461025132,12577.020475122818
96,1,2026-01-05T16:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,125.77020475122818,-125.77020475122818,12451.250270371589
97,1,2026-01-05T16:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,124.5125027037159,-124.5125027037159,12326.737767667873
98,1,2026-01-05T16:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,123.26737767667873,246.53475535335747,12573.27252302123
99,1,2026-01-05T16:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,125.73272523021231,-125.73272523021231,12447.539797791018
100,1,2026-01-05T17:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,124.47539797791018,-124.47539797791018,12323.064399813107
101,1,2026-01-05T17:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,123.23064399813107,246.46128799626214,12569.52568780937
102,1,2026-01-05T17:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,125.6952568780937,251.3905137561874,12820.916201565557
103,1,2026-01-05T18:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,128.20916201565558,256.41832403131116,13077.334525596867
104,1,2026-01-05T18:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,130.77334525596868,-130.77334525596868,12946.5611803409
105,1,2026-01-05T18:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,129.465611803409,258.931223606818,13205.492403947717
106,1,2026-01-05T18:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,132.05492403947719,264.10984807895437,13469.602252026672
107,1,2026-01-05T19:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,134.69602252026672,-134.69602252026672,13334.906229506405
108,1,2026-01-05T19:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,133.34906229506404,-133.34906229506404,13201.55716721134
109,1,2026-01-05T19:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,132.0155716721134,-132.0155716721134,13069.541595539227
110,1,2026-01-05T19:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,130.69541595539226,-130.69541595539226,12938.846179583836
111,1,2026-01-05T20:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,129.38846179583837,258.77692359167673,13197.623103175512
112,1,2026-01-05T20:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,131.97623103175513,263.95246206351027,13461.575565239023
113,1,2026-01-05T20:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,134.61575565239025,269.2315113047805,13730.807076543804
114,1,2026-01-05T20:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,137.30807076543803,-137.30807076543803,13593.499005778367
115,1,2026-01-05T20:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,135.93499005778366,-135.93499005778366,13457.564015720583
116,1,2026-01-05T20:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,134.57564015720584,269.1512803144117,13726.715296034996
117,1,2026-01-05T21:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,137.26715296034996,-137.26715296034996,13589.448143074645
118,1,2026-01-05T21:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,135.89448143074645,-135.89448143074645,13453.553661643899
119,1,2026-01-05T21:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,134.53553661643897,-134.53553661643897,13319.01812502746
120,1,2026-01-05T22:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,133.1901812502746,-133.1901812502746,13185.827943777185
121,1,2026-01-05T22:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,131.85827943777184,-131.85827943777184,13053.969664339413
122,1,2026-01-05T22:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,130.53969664339414,-130.53969664339414,12923.429967696018
123,1,2026-01-05T22:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,129.23429967696018,-129.23429967696018,12794.195668019058
124,1,2026-01-05T23:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,127.94195668019059,255.88391336038117,13050.07958137944
125,1,2026-01-05T23:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,130.50079581379438,-130.50079581379438,12919.578785565645
126,1,2026-01-06T00:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,129.19578785565645,258.3915757113129,13177.970361276959
127,1,2026-01-06T00:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,131.7797036127696,263.5594072255392,13441.529768502498
128,1,2026-01-06T01:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,134.415297685025,268.83059537005,13710.360363872547
129,1,2026-01-06T01:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,137.10360363872547,-137.10360363872547,13573.256760233822
130,1,2026-01-06T02:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,135.73256760233824,271.46513520467647,13844.721895438499
131,1,2026-01-06T02:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,138.447218954385,276.89443790877,14121.616333347269
132,1,2026-01-06T03:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,141.21616333347268,282.43232666694536,14404.048660014214
133,1,2026-01-06T03:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,144.04048660014215,288.0809732002843,14692.129633214498
134,1,2026-01-06T04:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,146.92129633214498,293.84259266428995,14985.972225878788
135,1,2026-01-06T04:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,149.85972225878788,299.71944451757577,15285.691670396363
136,1,2026-01-06T14:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,152.85691670396363,305.71383340792727,15591.40550380429
137,1,2026-01-06T14:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,155.9140550380429,311.8281100760858,15903.233613880375
138,1,2026-01-06T15:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,159.03233613880374,318.0646722776075,16221.298286157982
139,1,2026-01-12T01:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,162.21298286157983,-162.21298286157983,16059.085303296402
140,1,2026-01-12T02:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,160.59085303296402,-160.59085303296402,15898.494450263439
141,1,2026-01-12T02:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,158.9849445026344,-158.9849445026344,15739.509505760805
142,1,2026-01-12T02:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,157.39509505760805,-157.39509505760805,15582.114410703198
143,1,2026-01-12T03:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,155.82114410703198,311.64228821406397,15893.756698917261
144,1,2026-01-12T03:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,158.9375669891726,317.8751339783452,16211.631832895606
145,1,2026-01-12T04:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,162.11631832895605,324.2326366579121,16535.86446955352
146,1,2026-01-12T04:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,165.3586446955352,330.7172893910704,16866.58175894459
147,1,2026-01-12T04:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,168.6658175894459,337.3316351788918,17203.913394123483
148,1,2026-01-12T05:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,172.03913394123484,344.0782678824697,17547.991662005952
149,1,2026-01-12T05:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,175.47991662005953,350.95983324011905,17898.95149524607
150,1,2026-01-12T05:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,178.9895149524607,357.9790299049214,18256.93052515099
151,1,2026-01-12T05:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,182.56930525150992,365.13861050301983,18622.069135654012
152,1,2026-01-12T06:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,186.22069135654013,372.44138271308026,18994.510518367093
153,1,2026-01-13T09:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,189.94510518367093,379.89021036734187,19374.400728734436
154,1,2026-01-13T09:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,193.74400728734437,-193.74400728734437,19180.656721447092
155,1,2026-01-13T10:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,191.80656721447093,-191.80656721447093,18988.850154232623
