wf_fold,RR,SL_ATR_BUFFER,TDP_DEV_LOOKBACK,REQUIRE_IMPULSE_BEFORE_TDP,IMPULSE_LOOKBACK,IMPULSE_SIZE_ATR,TTS_RETEST_LOOKBACK,MAX_HOLD_BARS,BE_AFTER_R,PARTIAL_AT_R,PARTIAL_FRAC,trades_total,winrate(W/L)%,expectancy_R,expectancy_R_sqrtN
1,3.0,0.15,4,True,30,1.5,24,200,1.0,1.0,0.7,254,9.160305,-0.053937,-0.859614
1,2.0,0.15,8,True,20,1.0,24,200,1.0,1.0,0.7,460,19.78022,-0.040435,-0.867229
1,2.0,0.25,6,True,20,1.5,24,200,1.0,1.0,0.7,348,21.126761,-0.047126,-0.879132
1,3.0,0.25,6,True,20,1.5,24,200,1.0,1.0,0.7,348,15.151515,-0.047126,-0.879132
1,2.0,0.15,8,True,30,1.0,24,200,1.0,1.0,0.7,467,20.071685,-0.041328,-0.893097
1,2.0,0.25,6,True,30,1.5,24,200,1.0,1.0,0.7,363,21.777778,-0.047107,-0.897517
1,2.0,0.15,8,True,20,1.2,24,200,1.0,1.0,0.7,456,19.330855,-0.042105,-0.899122
1,3.0,0.15,8,True,20,1.2,24,200,1.0,1.0,0.7,456,13.545817,-0.043421,-0.92722
1,3.0,0.15,8,True,20,1.0,24,200,1.0,1.0,0.7,460,13.438735,-0.044348,-0.951155
1,2.0,0.15,8,True,30,1.2,24,200,1.0,1.0,0.7,464,19.494585,-0.048707,-1.049179
1,3.0,0.25,6,True,30,1.5,24,200,1.0,1.0,0.7,363,14.146341,-0.056198,-1.070722
1,3.0,0.15,8,True,30,1.0,24,200,1.0,1.0,0.7,467,12.890625,-0.049679,-1.073568
1,2.0,0.15,8,True,20,1.5,24,200,1.0,1.0,0.7,441,19.011407,-0.054649,-1.147619
1,3.0,0.15,8,True,20,1.5,24,200,1.0,1.0,0.7,441,13.414634,-0.055329,-1.161905
1,2.0,0.15,6,True,30,1.0,24,200,1.0,1.0,0.7,371,18.468468,-0.06496,-1.25121
1,2.0,0.15,8,True,30,1.5,24,200,1.0,1.0,0.7,455,19.047619,-0.058681,-1.251715
1,3.0,0.15,8,True,30,1.2,24,200,1.0,1.0,0.7,464,12.204724,-0.058405,-1.258086
1,2.0,0.15,6,True,30,1.2,24,200,1.0,1.0,0.7,370,18.099548,-0.068649,-1.320483
1,2.0,0.15,6,True,20,1.0,24,200,1.0,1.0,0.7,362,17.674419,-0.070166,-1.334994
1,2.0,0.15,6,True,20,1.2,24,200,1.0,1.0,0.7,359,16.981132,-0.075209,-1.425005
1,3.0,0.15,6,True,20,1.0,24,200,1.0,1.0,0.7,362,11.5,-0.075967,-1.445368
1,3.0,0.15,6,True,30,1.0,24,200,1.0,1.0,0.7,371,11.27451,-0.075472,-1.453688
1,3.0,0.15,6,True,20,1.2,24,200,1.0,1.0,0.7,359,11.557789,-0.077716,-1.472506
1,3.0,0.15,8,True,30,1.5,24,200,1.0,1.0,0.7,455,11.6,-0.06989,-1.490807
1,3.0,0.15,6,True,30,1.2,24,200,1.0,1.0,0.7,370,10.837438,-0.08,-1.538831
1,2.0,0.15,6,True,30,1.5,24,200,1.0,1.0,0.7,363,17.431193,-0.082094,-1.564094
1,2.0,0.15,6,True,20,1.5,24,200,1.0,1.0,0.7,348,16.425121,-0.088506,-1.651053
1,3.0,0.15,6,True,20,1.5,24,200,1.0,1.0,0.7,348,11.282051,-0.09023,-1.683217
1,3.0,0.15,6,True,30,1.5,24,200,1.0,1.0,0.7,363,10.0,-0.095317,-1.816029
2,2.0,0.25,8,True,10,1.5,24,200,1.0,1.0,0.7,742,25.733634,0.03841,1.046268
2,2.0,0.25,8,True,10,1.2,24,200,1.0,1.0,0.7,803,25.469729,0.035367,1.002214
2,2.0,0.25,8,True,10,1.0,24,200,1.0,1.0,0.7,835,25.447316,0.028503,0.823633
2,3.0,0.25,8,True,10,1.5,24,200,1.0,1.0,0.7,742,15.856777,0.021429,0.583707
2,3.0,0.25,8,True,10,1.2,24,200,1.0,1.0,0.7,803,16.0,0.020423,0.578743
2,2.0,0.25,4,True,10,1.5,24,200,1.0,1.0,0.7,447,21.73913,0.020805,0.439875
2,3.0,0.25,8,True,10,1.0,24,200,1.0,1.0,0.7,835,16.294643,0.01521,0.439502
2,3.0,0.25,4,True,10,1.5,24,200,1.0,1.0,0.7,447,15.021459,0.01745,0.368927
2,2.0,0.25,6,True,10,1.5,24,200,1.0,1.0,0.7,626,24.202128,0.013259,0.331735
2,2.0,0.25,6,True,10,1.2,24,200,1.0,1.0,0.7,663,24.06015,0.009955,0.256323
2,2.0,0.25,4,True,10,1.2,24,200,1.0,1.0,0.7,474,21.691176,0.010759,0.234251
2,2.0,0.15,4,True,10,1.5,24,200,1.0,1.0,0.7,447,18.852459,0.008725,0.184464
2,3.0,0.25,4,True,10,1.2,24,200,1.0,1.0,0.7,474,14.8,0.006329,0.137795
2,3.0,0.15,4,True,10,1.5,24,200,1.0,1.0,0.7,447,12.389381,0.003356,0.070948
2,2.0,0.25,6,True,10,1.0,24,200,1.0,1.0,0.7,681,23.786408,0.002496,0.065144
2,2.0,0.25,4,True,10,1.0,24,200,1.0,1.0,0.7,482,21.223022,0.001037,0.022774
2,2.0,0.25,8,True,20,1.2,24,200,1.0,1.0,0.7,926,24.070796,0.00054,0.016431
2,2.0,0.15,4,True,10,1.2,24,200,1.0,1.0,0.7,474,19.318182,0.000633,0.013779
2,3.0,0.25,6,True,10,1.5,24,200,1.0,1.0,0.7,626,15.178571,-0.000639,-0.015987
2,2.0,0.25,8,True,20,1.0,24,200,1.0,1.0,0.7,934,24.25829,-0.000642,-0.019633
2,2.0,0.25,8,True,30,1.0,24,200,1.0,1.0,0.7,947,24.486301,-0.001056,-0.032496
2,3.0,0.25,4,True,10,1.0,24,200,1.0,1.0,0.7,482,14.453125,-0.00332,-0.072878
2,2.0,0.25,8,True,20,1.5,24,200,1.0,1.0,0.7,904,24.144144,-0.002765,-0.083149
2,3.0,0.25,6,True,10,1.2,24,200,1.0,1.0,0.7,663,15.12605,-0.00362,-0.093208
2,2.0,0.15,4,True,10,1.0,24,200,1.0,1.0,0.7,482,18.959108,-0.005394,-0.118427
2,3.0,0.25,8,True,20,1.2,24,200,1.0,1.0,0.7,926,16.699029,-0.003996,-0.12159
2,3.0,0.15,4,True,10,1.2,24,200,1.0,1.0,0.7,474,12.345679,-0.006962,-0.151574
2,2.0,0.15,8,True,10,1.2,24,200,1.0,1.0,0.7,803,21.030043,-0.005853,-0.165859
2,2.0,0.25,8,True,30,1.2,24,200,1.0,1.0,0.7,941,24.137931,-0.005632,-0.172775
2,2.0,0.15,8,True,10,1.0,24,200,1.0,1.0,0.7,835,21.472393,-0.006347,-0.183414
2,3.0,0.25,8,True,20,1.0,24,200,1.0,1.0,0.7,934,16.698656,-0.006103,-0.18651
2,3.0,0.25,4,True,20,1.2,24,200,1.0,1.0,0.7,519,15.248227,-0.008285,-0.188749
2,2.0,0.15,8,True,10,1.5,24,200,1.0,1.0,0.7,742,21.064815,-0.007682,-0.209254
2,3.0,0.25,8,True,20,1.5,24,200,1.0,1.0,0.7,904,16.798419,-0.00708,-0.212861
2,3.0,0.25,8,True,30,1.0,24,200,1.0,1.0,0.7,947,16.635161,-0.008025,-0.246967
2,3.0,0.25,6,True,10,1.0,24,200,1.0,1.0,0.7,681,15.135135,-0.009838,-0.256745
2,2.0,0.25,4,True,20,1.2,24,200,1.0,1.0,0.7,519,20.333333,-0.012331,-0.280929
2,3.0,0.15,4,True,10,1.0,24,200,1.0,1.0,0.7,482,12.096774,-0.012863,-0.282402
2,3.0,0.25,4,True,20,1.5,24,200,1.0,1.0,0.7,505,15.217391,-0.012871,-0.289246
2,3.0,0.15,4,True,20,1.2,24,200,1.0,1.0,0.7,519,13.186813,-0.013873,-0.316045
2,3.0,0.25,4,True,20,1.0,24,200,1.0,1.0,0.7,524,15.034965,-0.014504,-0.332008
2,2.0,0.15,4,True,20,1.2,24,200,1.0,1.0,0.7,519,18.275862,-0.015029,-0.342382
2,3.0,0.15,4,True,20,1.5,24,200,1.0,1.0,0.7,505,13.157895,-0.015248,-0.342646
2,2.0,0.25,8,True,30,1.5,24,200,1.0,1.0,0.7,924,23.951049,-0.011364,-0.345425
2,2.0,0.15,4,True,20,1.5,24,200,1.0,1.0,0.7,505,18.085106,-0.01703,-0.382695
2,2.0,0.25,4,True,20,1.5,24,200,1.0,1.0,0.7,505,20.136519,-0.017624,-0.396045
2,2.0,0.25,4,True,20,1.0,24,200,1.0,1.0,0.7,524,20.327869,-0.017366,-0.397535
2,2.0,0.15,6,True,10,1.5,24,200,1.0,1.0,0.7,626,20.923913,-0.016454,-0.411671
2,3.0,0.25,8,True,30,1.2,24,200,1.0,1.0,0.7,941,16.190476,-0.013603,-0.417268
2,3.0,0.15,8,True,10,1.2,24,200,1.0,1.0,0.7,803,13.411765,-0.015193,-0.430529
2,3.0,0.15,8,True,10,1.0,24,200,1.0,1.0,0.7,835,13.901345,-0.01497,-0.43258
2,2.0,0.15,4,True,20,1.0,24,200,1.0,1.0,0.7,524,18.305085,-0.020038,-0.458695
2,3.0,0.15,4,True,20,1.0,24,200,1.0,1.0,0.7,524,12.99639,-0.020038,-0.458695
2,3.0,0.15,8,True,10,1.5,24,200,1.0,1.0,0.7,742,13.451777,-0.016981,-0.462561
2,2.0,0.15,6,True,10,1.2,24,200,1.0,1.0,0.7,663,20.971867,-0.0181,-0.466041
2,2.0,0.25,4,True,30,1.0,24,200,1.0,1.0,0.7,532,20.512821,-0.020301,-0.468239
2,2.0,0.25,6,True,30,1.0,24,200,1.0,1.0,0.7,754,23.110151,-0.017507,-0.480716
2,3.0,0.25,4,True,30,1.0,24,200,1.0,1.0,0.7,532,14.482759,-0.021429,-0.494253
2,2.0,0.15,4,True,30,1.0,24,200,1.0,1.0,0.7,532,18.543046,-0.022932,-0.528937
2,2.0,0.25,4,True,30,1.2,24,200,1.0,1.0,0.7,528,20.322581,-0.023674,-0.543993
2,2.0,0.25,6,True,30,1.2,24,200,1.0,1.0,0.7,750,22.993492,-0.019867,-0.544071
2,3.0,0.25,8,True,30,1.5,24,200,1.0,1.0,0.7,924,16.184971,-0.018506,-0.562549
2,2.0,0.25,6,True,20,1.2,24,200,1.0,1.0,0.7,737,22.321429,-0.021303,-0.578317
2,3.0,0.25,4,True,30,1.2,24,200,1.0,1.0,0.7,528,14.236111,-0.025379,-0.58316
2,2.0,0.15,4,True,30,1.2,24,200,1.0,1.0,0.7,528,18.333333,-0.026326,-0.60492
2,3.0,0.15,4,True,30,1.0,24,200,1.0,1.0,0.7,532,12.455516,-0.02688,-0.619984
2,2.0,0.25,6,True,20,1.0,24,200,1.0,1.0,0.7,743,22.46696,-0.023015,-0.627338
2,2.0,0.15,6,True,10,1.0,24,200,1.0,1.0,0.7,681,20.792079,-0.024816,-0.647609
2,2.0,0.25,6,True,20,1.5,24,200,1.0,1.0,0.7,719,22.323462,-0.024478,-0.656369
2,3.0,0.25,6,True,20,1.2,24,200,1.0,1.0,0.7,737,15.533981,-0.024559,-0.666722
2,3.0,0.25,6,True,30,1.0,24,200,1.0,1.0,0.7,754,15.43943,-0.025066,-0.688297
2,2.0,0.15,4,True,30,1.5,24,200,1.0,1.0,0.7,521,18.181818,-0.03071,-0.700973
2,3.0,0.15,4,True,30,1.2,24,200,1.0,1.0,0.7,528,12.18638,-0.030871,-0.709366
2,3.0,0.15,6,True,10,1.5,24,200,1.0,1.0,0.7,626,12.874251,-0.028435,-0.711431
2,2.0,0.25,4,True,30,1.5,24,200,1.0,1.0,0.7,521,20.12987,-0.031286,-0.714116
2,3.0,0.25,4,True,30,1.5,24,200,1.0,1.0,0.7,521,14.285714,-0.031862,-0.727259
2,3.0,0.25,6,True,20,1.5,24,200,1.0,1.0,0.7,719,15.594059,-0.027399,-0.734686
2,2.0,0.25,6,True,30,1.5,24,200,1.0,1.0,0.7,737,22.807018,-0.027273,-0.740393
2,3.0,0.25,6,True,20,1.0,24,200,1.0,1.0,0.7,743,15.384615,-0.02786,-0.759409
2,3.0,0.25,6,True,30,1.2,24,200,1.0,1.0,0.7,750,15.274463,-0.027867,-0.76316
2,3.0,0.15,6,True,10,1.2,24,200,1.0,1.0,0.7,663,12.711864,-0.031222,-0.803921
2,3.0,0.15,4,True,30,1.5,24,200,1.0,1.0,0.7,521,11.956522,-0.035893,-0.819262
2,2.0,0.15,8,True,20,1.2,24,200,1.0,1.0,0.7,926,20.582878,-0.027214,-0.828123
2,3.0,0.15,8,True,20,1.2,24,200,1.0,1.0,0.7,926,14.677104,-0.027538,-0.837982
2,2.0,0.15,8,True,20,1.0,24,200,1.0,1.0,0.7,934,20.825853,-0.028158,-0.860562
2,2.0,0.15,8,True,30,1.0,24,200,1.0,1.0,0.7,947,21.126761,-0.028194,-0.867633
2,2.0,0.15,8,True,20,1.5,24,200,1.0,1.0,0.7,904,20.63197,-0.029314,-0.881377
2,3.0,0.15,8,True,20,1.5,24,200,1.0,1.0,0.7,904,14.770459,-0.029314,-0.881377
2,3.0,0.15,8,True,20,1.0,24,200,1.0,1.0,0.7,934,14.700193,-0.029443,-0.899827
2,3.0,0.25,6,True,30,1.5,24,200,1.0,1.0,0.7,737,15.180723,-0.035007,-0.950355
2,3.0,0.15,6,True,10,1.0,24,200,1.0,1.0,0.7,681,12.80654,-0.036711,-0.958002
2,2.0,0.15,8,True,30,1.5,24,200,1.0,1.0,0.7,924,20.900901,-0.032359,-0.983638
2,3.0,0.15,8,True,30,1.0,24,200,1.0,1.0,0.7,947,14.503817,-0.031996,-0.984618
2,2.0,0.15,8,True,30,1.2,24,200,1.0,1.0,0.7,941,20.884956,-0.032306,-0.991012
2,2.0,0.15,6,True,30,1.0,24,200,1.0,1.0,0.7,754,20.484581,-0.03992,-1.096177
2,3.0,0.15,8,True,30,1.2,24,200,1.0,1.0,0.7,941,14.203455,-0.036769,-1.127928
2,3.0,0.15,8,True,30,1.5,24,200,1.0,1.0,0.7,924,14.09002,-0.037554,-1.141546
2,2.0,0.15,6,True,30,1.2,24,200,1.0,1.0,0.7,750,20.353982,-0.0424,-1.161172
2,2.0,0.15,6,True,20,1.2,24,200,1.0,1.0,0.7,737,19.589977,-0.044233,-1.200836
2,2.0,0.15,6,True,20,1.5,24,200,1.0,1.0,0.7,719,19.58042,-0.045619,-1.223234
2,2.0,0.15,6,True,30,1.5,24,200,1.0,1.0,0.7,737,20.224719,-0.04559,-1.237672
2,2.0,0.15,6,True,20,1.0,24,200,1.0,1.0,0.7,743,19.775281,-0.04576,-1.247339
