RR,SL_ATR_BUFFER,TDP_DEV_LOOKBACK,REQUIRE_IMPULSE_BEFORE_TDP,IMPULSE_LOOKBACK,IMPULSE_SIZE_ATR,TTS_RETEST_LOOKBACK,MAX_HOLD_BARS,BE_AFTER_R,PARTIAL_AT_R,PARTIAL_FRAC,trades_total,winrate(W/L)%,expectancy_R,expectancy_R_sqrtN
2.0,0.25,4,True,30,1.0,24,200,1.0,1.0,0.7,1005,21.9966,-0.003582,-0.113558
2.0,0.25,4,True,30,1.2,24,200,1.0,1.0,0.7,998,21.9761,-0.004008,-0.126618
3.0,0.25,4,True,30,1.2,24,200,1.0,1.0,0.7,998,15.8088,-0.004008,-0.126618
2.0,0.25,6,True,20,1.2,24,200,1.0,1.0,0.7,1387,23.3611,-0.004326,-0.161106
3.0,0.25,4,True,20,1.5,24,200,1.0,1.0,0.7,960,15.8397,-0.004583,-0.142009
2.0,0.25,4,True,20,1.5,24,200,1.0,1.0,0.7,960,21.6696,-0.006146,-0.190422
3.0,0.25,6,True,20,1.0,24,200,1.0,1.0,0.7,1404,16.3449,-0.006624,-0.248199
3.0,0.25,6,True,20,1.2,24,200,1.0,1.0,0.7,1387,16.276,-0.008003,-0.298047
2.0,0.25,6,True,20,1.5,24,200,1.0,1.0,0.7,1360,23.1796,-0.008015,-0.295568
3.0,0.25,6,True,20,1.5,24,200,1.0,1.0,0.7,1360,16.0477,-0.012206,-0.450131
