i,is_trade,timestamp,symbol,side,model,R,risk_usd,pnl,equity
36,1,2026-01-02T23:30:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,2.0,24.994384953110067,49.988769906220135,10047.742751150246
37,1,2026-01-03T00:00:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,2.0,25.119356877875617,50.238713755751235,10097.981464905997
38,1,2026-01-03T00:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,25.244953662264994,50.48990732452999,10148.471372230528
39,1,2026-01-03T00:30:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,2.0,25.37117843057632,50.74235686115264,10199.21372909168
40,1,2026-01-03T00:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,25.4980343227292,-25.4980343227292,10173.715694768951
41,1,2026-01-03T01:00:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,2.0,25.43428923692238,50.86857847384476,10224.584273242795
42,1,2026-01-03T01:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,25.56146068310699,-25.56146068310699,10199.022812559688
43,1,2026-01-03T01:30:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,2.0,25.49755703139922,50.99511406279844,10250.017926622486
44,1,2026-01-03T04:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,25.625044816556215,51.25008963311243,10301.268016255599
45,1,2026-01-03T04:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,25.753170040639,51.506340081278,10352.774356336877
46,1,2026-01-03T05:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,25.881935890842193,51.76387178168439,10404.538228118561
47,1,2026-01-03T05:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.011345570296402,-26.011345570296402,10378.526882548265
48,1,2026-01-04T00:00:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,-1.0,25.946317206370665,-25.946317206370665,10352.580565341894
49,1,2026-01-04T00:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,25.881451413354736,51.76290282670947,10404.343468168603
50,1,2026-01-04T00:30:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,2.0,26.01085867042151,52.02171734084302,10456.365185509447
51,1,2026-01-04T00:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,26.140912963773616,-26.140912963773616,10430.224272545673
52,1,2026-01-04T01:00:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,-1.0,26.07556068136418,-26.07556068136418,10404.148711864309
53,1,2026-01-04T01:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,26.010371779660773,-26.010371779660773,10378.138340084648
54,1,2026-01-04T01:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,25.94534585021162,-25.94534585021162,10352.192994234436
55,1,2026-01-04T01:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,25.88048248558609,-25.88048248558609,10326.312511748849
56,1,2026-01-04T01:30:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,-1.0,25.81578127937212,-25.81578127937212,10300.496730469476
57,1,2026-01-04T02:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,25.751241826173693,-25.751241826173693,10274.745488643302
58,1,2026-01-04T02:00:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,-1.0,25.68686372160826,-25.68686372160826,10249.058624921694
59,1,2026-01-04T02:30:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,-1.0,25.622646562304237,-25.622646562304237,10223.43597835939
60,1,2026-01-04T02:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,25.558589945898476,-25.558589945898476,10197.877388413492
61,1,2026-01-04T03:00:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,-1.0,25.49469347103373,-25.49469347103373,10172.382694942458
62,1,2026-01-04T03:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,25.430956737356148,-25.430956737356148,10146.951738205102
63,1,2026-01-04T03:30:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,2.0,25.367379345512756,50.73475869102551,10197.686496896127
64,1,2026-01-04T03:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,25.49421624224032,-25.49421624224032,10172.192280653888
65,1,2026-01-04T04:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,25.43048070163472,-25.43048070163472,10146.761799952254
66,1,2026-01-04T06:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,25.366904499880633,-25.366904499880633,10121.394895452373
67,1,2026-01-04T07:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,25.303487238630932,-25.303487238630932,10096.091408213742
68,1,2026-01-04T07:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,25.240228520534355,-25.240228520534355,10070.851179693209
69,1,2026-01-04T08:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,25.17712794923302,-25.17712794923302,10045.674051743976
70,1,2026-01-04T08:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,25.11418512935994,-25.11418512935994,10020.559866614616
71,1,2026-01-04T12:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,25.05139966653654,50.10279933307308,10070.66266594769
72,1,2026-01-04T12:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,25.176656664869224,50.35331332973845,10121.015979277428
73,1,2026-01-04T13:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,25.302539948193573,-25.302539948193573,10095.713439329234
74,1,2026-01-04T13:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,25.239283598323087,-25.239283598323087,10070.474155730912
75,1,2026-01-04T14:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,25.17618538932728,-25.17618538932728,10045.297970341584
