DEV_MIN_TDP,EXTREME_Q,TDP_RANGE_ATR_MAX,trades_total,winrate,tdp_trades,tdp_wr,tdp_top_trades,tdp_top_wr,tdp_bot_trades,tdp_bot_wr
2,0.2,14.0,884,0.0746606334841629,884,0.0746606334841629,415,0.08433734939759036,469,0.06609808102345416
6,0.2,10.0,108,0.07407407407407407,108,0.07407407407407407,51,0.0784313725490196,57,0.07017543859649122
5,0.25,10.0,195,0.07179487179487179,195,0.07179487179487179,93,0.07526881720430108,102,0.06862745098039216
6,0.15,14.0,195,0.07179487179487179,195,0.07179487179487179,95,0.08421052631578947,100,0.06
3,0.25,10.0,453,0.0706401766004415,453,0.0706401766004415,194,0.07731958762886598,259,0.06563706563706563
5,0.2,10.0,185,0.07027027027027027,185,0.07027027027027027,91,0.07692307692307693,94,0.06382978723404255
6,0.1,10.0,72,0.06944444444444445,72,0.06944444444444445,34,0.08823529411764706,38,0.05263157894736842
3,0.2,10.0,425,0.06823529411764706,425,0.06823529411764706,189,0.07936507936507936,236,0.059322033898305086
5,0.15,10.0,165,0.06666666666666667,165,0.06666666666666667,78,0.07692307692307693,87,0.05747126436781609
2,0.15,18.0,846,0.06619385342789598,846,0.06619385342789598,405,0.07654320987654321,441,0.05668934240362812
4,0.1,18.0,368,0.06521739130434782,368,0.06521739130434782,187,0.08021390374331551,181,0.049723756906077346
5,0.1,10.0,109,0.06422018348623854,109,0.06422018348623854,53,0.09433962264150944,56,0.03571428571428571
2,0.15,14.0,765,0.06405228758169934,765,0.06405228758169934,357,0.07563025210084033,408,0.05392156862745098
4,0.1,14.0,333,0.06306306306306306,333,0.06306306306306306,170,0.07647058823529412,163,0.049079754601226995
4,0.15,10.0,277,0.061371841155234655,277,0.061371841155234655,127,0.07086614173228346,150,0.05333333333333334
2,0.25,10.0,587,0.06132879045996593,587,0.06132879045996593,250,0.068,337,0.05637982195845697
6,0.15,10.0,98,0.061224489795918366,98,0.061224489795918366,45,0.06666666666666667,53,0.05660377358490566
5,0.1,14.0,215,0.06046511627906977,215,0.06046511627906977,113,0.07964601769911504,102,0.0392156862745098
3,0.1,18.0,478,0.058577405857740586,478,0.058577405857740586,235,0.07659574468085106,243,0.0411522633744856
5,0.1,18.0,239,0.058577405857740586,239,0.058577405857740586,126,0.07936507936507936,113,0.035398230088495575
3,0.1,14.0,435,0.05747126436781609,435,0.05747126436781609,211,0.07582938388625593,224,0.04017857142857143
3,0.15,10.0,370,0.05675675675675676,370,0.05675675675675676,161,0.06832298136645963,209,0.04784688995215311
2,0.2,10.0,547,0.056672760511883,547,0.056672760511883,239,0.06694560669456066,308,0.048701298701298704
6,0.1,14.0,145,0.05517241379310345,145,0.05517241379310345,72,0.06944444444444445,73,0.0410958904109589
6,0.1,18.0,165,0.05454545454545454,165,0.05454545454545454,83,0.07228915662650602,82,0.036585365853658534
2,0.1,18.0,581,0.05335628227194492,581,0.05335628227194492,284,0.07042253521126761,297,0.037037037037037035
