RR,SL_ATR_BUFFER,TDP_DEV_LOOKBACK,REQUIRE_IMPULSE_BEFORE_TDP,IMPULSE_LOOKBACK,IMPULSE_SIZE_ATR,TTS_RETEST_LOOKBACK,MAX_HOLD_BARS,BE_AFTER_R,PARTIAL_AT_R,PARTIAL_FRAC,trades_total,winrate(W/L)%,expectancy_R,expectancy_R_sqrtN,TDP_TOP_trades_total,TDP_TOP_winrate(W/L)%,TDP_TOP_expectancy_R,TDP_TOP_expectancy_R_sqrtN,TDP_BOT_trades_total,TDP_BOT_winrate(W/L)%,TDP_BOT_expectancy_R,TDP_BOT_expectancy_R_sqrtN,LONG_trades_total,LONG_winrate(W/L)%,LONG_expectancy_R,LONG_expectancy_R_sqrtN,SHORT_trades_total,SHORT_winrate(W/L)%,SHORT_expectancy_R,SHORT_expectancy_R_sqrtN
3.0,0.15,4,True,10,1.5,24,200,1.0,1.0,0.7,821,22.869955156950674,0.09780755176613887,2.802489323230501,417,22.666666666666664,0.10071942446043165,2.0567488488724455,404,23.076923076923077,0.09480198019801982,1.9054962192521294,404,23.076923076923077,0.09480198019801982,1.9054962192521294,417,22.666666666666664,0.10071942446043165,2.0567488488724455
3.0,0.15,4,True,20,1.0,24,200,1.0,1.0,0.7,990,22.621184919210055,0.07303030303030304,2.297844840081878,502,22.463768115942027,0.08645418326693229,1.937036797220141,488,22.77580071174377,0.059221311475409835,1.3082415303143928,488,22.77580071174377,0.059221311475409835,1.3082415303143928,502,22.463768115942027,0.08645418326693229,1.937036797220141
3.0,0.15,4,True,20,1.2,24,200,1.0,1.0,0.7,980,22.867513611615244,0.07704081632653062,2.4117590328747736,499,22.545454545454547,0.08617234468937879,1.9249443684541352,481,23.18840579710145,0.06756756756756757,1.481872445909548,481,23.18840579710145,0.06756756756756757,1.481872445909548,499,22.545454545454547,0.08617234468937879,1.9249443684541352
3.0,0.15,4,True,20,1.5,24,200,1.0,1.0,0.7,960,22.59259259259259,0.07270833333333335,2.252785313043981,494,22.509225092250922,0.08846153846153848,1.9661559528097543,466,22.676579925650557,0.056008583690987136,1.2090591525375276,466,22.676579925650557,0.056008583690987136,1.2090591525375276,494,22.509225092250922,0.08846153846153848,1.9661559528097543
3.0,0.15,4,True,30,1.0,24,200,1.0,1.0,0.7,1005,22.535211267605636,0.06895522388059704,2.186000232142114,514,22.887323943661972,0.08949416342412453,2.0289730203996625,491,22.183098591549296,0.047454175152749495,1.0515142800072015,491,22.183098591549296,0.047454175152749495,1.0515142800072015,514,22.887323943661972,0.08949416342412453,2.0289730203996625
3.0,0.15,4,True,30,1.2,24,200,1.0,1.0,0.7,998,22.24199288256228,0.06693386773547096,2.114517052361948,510,22.77580071174377,0.08960784313725494,2.0236300134591185,488,21.70818505338078,0.04323770491803279,0.9551521207485706,488,21.70818505338078,0.04323770491803279,0.9551521207485706,510,22.77580071174377,0.08960784313725494,2.0236300134591185
3.0,0.15,4,True,30,1.5,24,200,1.0,1.0,0.7,984,22.282608695652172,0.06991869918699188,2.193263892937884,504,22.743682310469314,0.09067460317460321,2.0356397925663,480,21.818181818181817,0.048125000000000015,1.0543659231974452,480,21.818181818181817,0.048125000000000015,1.0543659231974452,504,22.743682310469314,0.09067460317460321,2.0356397925663
3.0,0.15,8,True,10,1.0,24,200,1.0,1.0,0.7,1552,22.952710495963093,0.0823453608247423,3.2440309976019135,805,23.79862700228833,0.1130434782608696,3.2073285646685994,747,22.093023255813954,0.0492637215528782,1.3464415892068688,747,22.093023255813954,0.0492637215528782,1.3464415892068688,805,23.79862700228833,0.1130434782608696,3.2073285646685994
3.0,0.15,8,True,10,1.2,24,200,1.0,1.0,0.7,1473,22.721749696233292,0.07929395790902921,3.0432768989650962,775,23.82075471698113,0.1087741935483871,3.028145392171425,698,21.553884711779446,0.04656160458452724,1.2301431416697555,698,21.553884711779446,0.04656160458452724,1.2301431416697555,775,23.82075471698113,0.1087741935483871,3.028145392171425
3.0,0.15,8,True,10,1.5,24,200,1.0,1.0,0.7,1351,22.793148880105402,0.0768319763138416,2.824032425694995,711,23.604060913705585,0.09803094233473983,2.6139542231514628,640,21.91780821917808,0.05328125000000002,1.3479208526467723,640,21.91780821917808,0.05328125000000002,1.3479208526467723,711,23.604060913705585,0.09803094233473983,2.6139542231514628
3.0,0.15,8,True,20,1.0,24,200,1.0,1.0,0.7,1765,23.274161735700197,0.06980169971671389,2.9325022429828,912,24.171539961013643,0.09725877192982456,2.9371505017917348,853,22.355289421157686,0.040445486518171175,1.1812575015113793,853,22.355289421157686,0.040445486518171175,1.1812575015113793,912,24.171539961013643,0.09725877192982456,2.9371505017917348
3.0,0.15,8,True,20,1.2,24,200,1.0,1.0,0.7,1741,23.04609218436874,0.06777713957495693,2.828020945793174,900,23.762376237623762,0.0927777777777778,2.783333333333334,841,22.31237322515213,0.04102259215219978,1.1896551724137936,841,22.31237322515213,0.04102259215219978,1.1896551724137936,900,23.762376237623762,0.0927777777777778,2.783333333333334
3.0,0.15,8,True,20,1.5,24,200,1.0,1.0,0.7,1707,22.801635991820042,0.06444053895723494,2.6624160616432295,887,23.83838383838384,0.09718151071025932,2.8943127376329527,820,21.73913043478261,0.029024390243902454,0.8311320519657985,820,21.73913043478261,0.029024390243902454,0.8311320519657985,887,23.83838383838384,0.09718151071025932,2.8943127376329527
3.0,0.15,8,True,30,1.0,24,200,1.0,1.0,0.7,1791,23.500967117988395,0.07012841987716359,2.9678493116348994,931,24.334600760456272,0.09699248120300753,2.9594629669302472,860,22.63779527559055,0.04104651162790699,1.2037200091653861,860,22.63779527559055,0.04104651162790699,1.2037200091653861,931,24.334600760456272,0.09699248120300753,2.9594629669302472
3.0,0.15,8,True,30,1.2,24,200,1.0,1.0,0.7,1780,23.219512195121954,0.06752808988764046,2.849013233471264,925,24.184261036468328,0.09664864864864865,2.9394538930197887,855,22.22222222222222,0.03602339181286551,1.0533377748074253,855,22.22222222222222,0.03602339181286551,1.0533377748074253,925,24.184261036468328,0.09664864864864865,2.9394538930197887
3.0,0.15,8,True,30,1.5,24,200,1.0,1.0,0.7,1748,23.276723276723278,0.07185354691075516,3.004131403915423,910,24.361493123772103,0.10340659340659343,3.1193846251401003,838,22.15447154471545,0.03758949880668259,1.0881494439692103,838,22.15447154471545,0.03758949880668259,1.0881494439692103,910,24.361493123772103,0.10340659340659343,3.1193846251401003
3.0,0.25,4,True,10,1.0,24,200,1.0,1.0,0.7,904,20.07952286282306,0.04303097345132744,1.2937947546874031,453,21.074380165289256,0.08454746136865343,1.7994909753648187,451,19.157088122605366,0.001330376940133041,0.028252896560880737,451,19.157088122605366,0.001330376940133041,0.028252896560880737,453,21.074380165289256,0.08454746136865343,1.7994909753648187
3.0,0.25,4,True,10,1.2,24,200,1.0,1.0,0.7,874,19.958847736625515,0.04164759725400458,1.2312483665149638,443,21.338912133891213,0.08216704288939053,1.7294161908499108,431,18.62348178137652,1.648591034246172e-17,3.422563927266879e-16,431,18.62348178137652,1.648591034246172e-17,3.422563927266879e-16,443,21.338912133891213,0.08216704288939053,1.7294161908499108
3.0,0.25,4,True,10,1.5,24,200,1.0,1.0,0.7,821,20.568927789934357,0.049695493300852635,1.4239298180299436,417,21.58590308370044,0.08009592326139088,1.6356050369604684,404,19.565217391304348,0.018316831683168323,0.3681637603776961,404,19.565217391304348,0.018316831683168323,0.3681637603776961,417,21.58590308370044,0.08009592326139088,1.6356050369604684
3.0,0.25,4,True,20,1.0,24,200,1.0,1.0,0.7,990,20.76788830715532,0.02717171717171718,0.8549381216902148,502,21.785714285714285,0.06772908366533867,1.5174942651033365,488,19.795221843003414,-0.014549180327868842,-0.3214018984509406,488,19.795221843003414,-0.014549180327868842,-0.3214018984509406,502,21.785714285714285,0.06772908366533867,1.5174942651033365
3.0,0.25,4,True,20,1.2,24,200,1.0,1.0,0.7,980,21.024734982332156,0.03244897959183675,1.015813738349905,499,21.863799283154123,0.06733466933867736,1.5041425762804401,481,20.209059233449477,-0.003742203742203729,-0.08207293546575929,481,20.209059233449477,-0.003742203742203729,-0.08207293546575929,499,21.863799283154123,0.06733466933867736,1.5041425762804401
3.0,0.25,4,True,20,1.5,24,200,1.0,1.0,0.7,960,20.68345323741007,0.025416666666666678,0.7875066137288418,494,21.818181818181817,0.0694331983805668,1.5432299583838571,466,19.572953736654807,-0.021244635193133028,-0.45860864406595825,466,19.572953736654807,-0.021244635193133028,-0.45860864406595825,494,21.818181818181817,0.0694331983805668,1.5432299583838571
3.0,0.25,4,True,30,1.0,24,200,1.0,1.0,0.7,1005,20.926243567753,0.028059701492537323,0.8895412200058819,514,22.569444444444446,0.07626459143968872,1.7290378782536253,491,19.322033898305087,-0.02240325865580447,-0.49642305064717634,491,19.322033898305087,-0.02240325865580447,-0.49642305064717634,514,22.569444444444446,0.07626459143968872,1.7290378782536253
3.0,0.25,4,True,30,1.2,24,200,1.0,1.0,0.7,998,20.623916811091856,0.025751503006012026,0.8135192851153003,510,22.45614035087719,0.07627450980392159,1.7225209523754856,488,18.835616438356166,-0.027049180327868842,-0.597535923880622,488,18.835616438356166,-0.027049180327868842,-0.597535923880622,510,22.45614035087719,0.07627450980392159,1.7225209523754856
3.0,0.25,4,True,30,1.5,24,200,1.0,1.0,0.7,984,20.738137082601053,0.027337398373983753,0.8575406790701904,504,22.419928825622776,0.0771825396825397,1.7327437183988852,480,19.09722222222222,-0.024999999999999988,-0.5477225575051659,480,19.09722222222222,-0.024999999999999988,-0.5477225575051659,504,22.419928825622776,0.0771825396825397,1.7327437183988852
3.0,0.25,8,True,10,1.0,24,200,1.0,1.0,0.7,1552,22.094361334867664,0.0684278350515464,2.6957440684297587,805,24.593967517401392,0.13217391304347828,3.7501072448432846,747,19.63470319634703,-0.0002677376171352113,-0.007317617332646128,747,19.63470319634703,-0.0002677376171352113,-0.007317617332646128,805,24.593967517401392,0.13217391304347828,3.7501072448432846
3.0,0.25,8,True,10,1.2,24,200,1.0,1.0,0.7,1473,21.74969623329283,0.06517311608961303,2.5013234786014484,775,24.519230769230766,0.12967741935483876,3.6100665707381765,698,18.91891891891892,-0.006446991404011451,-0.17032751192350426,698,18.91891891891892,-0.006446991404011451,-0.17032751192350426,775,24.519230769230766,0.12967741935483876,3.6100665707381765
3.0,0.25,8,True,10,1.5,24,200,1.0,1.0,0.7,1351,21.693121693121693,0.06328645447816432,2.326153876656282,711,24.155844155844157,0.11954992967651197,3.187749052623735,640,19.137466307277627,0.00078125,0.019764235376052375,640,19.137466307277627,0.00078125,0.019764235376052375,711,24.155844155844157,0.11954992967651197,3.187749052623735
3.0,0.25,8,True,20,1.0,24,200,1.0,1.0,0.7,1765,22.602739726027394,0.054730878186968854,2.299348349611514,912,24.901960784313726,0.11140350877192985,3.364312186945212,853,20.3125,-0.005861664712778417,-0.17119673934947482,853,20.3125,-0.005861664712778417,-0.17119673934947482,912,24.901960784313726,0.11140350877192985,3.364312186945212
3.0,0.25,8,True,20,1.2,24,200,1.0,1.0,0.7,1741,22.46520874751491,0.053991958644457216,2.2528302449538846,900,24.50199203187251,0.10711111111111113,3.213333333333334,841,20.436507936507937,-0.0028537455410225904,-0.08275862068965512,841,20.436507936507937,-0.0028537455410225904,-0.08275862068965512,900,24.50199203187251,0.10711111111111113,3.213333333333334
3.0,0.25,8,True,20,1.5,24,200,1.0,1.0,0.7,1707,22.087132725430596,0.04786174575278267,1.9774490203295618,887,24.390243902439025,0.108793686583991,3.2401528907375856,820,19.7979797979798,-0.01804878048780487,-0.5168384188694877,820,19.7979797979798,-0.01804878048780487,-0.5168384188694877,887,24.390243902439025,0.108793686583991,3.2401528907375856
3.0,0.25,8,True,30,1.0,24,200,1.0,1.0,0.7,1791,23.032629558541267,0.05817978782802903,2.4621807187289533,931,25.38167938931298,0.11460794844253493,3.4969512577127064,860,20.656370656370658,-0.0029069767441860426,-0.08524929243380906,860,20.656370656370658,-0.0029069767441860426,-0.08524929243380906,931,25.38167938931298,0.11460794844253493,3.4969512577127064
