IMPULSE_ATR_MIN,RANGE_ATR_MAX,DEV_MAX,BREAKOUT_ATR_MIN,DEV_MIN_TDP,EXTREME_Q,TDP_RANGE_ATR_MAX,trades_total,winrate,tdp_top_trades,tdp_top_wr,tdp_bot_trades,tdp_bot_wr,tdp_trades,tdp_wr,tts_trades,tts_wr
2.0,3.0,2,0.2,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
2.0,3.0,2,0.3,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
2.0,3.0,2,0.5,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
2.0,3.0,3,0.2,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
2.0,3.0,3,0.3,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
2.0,3.0,3,0.5,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
2.0,6.0,1,0.2,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
2.0,6.0,1,0.3,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
2.0,6.0,1,0.5,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
2.0,6.0,2,0.2,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
2.0,6.0,2,0.3,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
2.0,6.0,2,0.5,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
2.0,6.0,3,0.2,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
2.0,6.0,3,0.3,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
2.0,6.0,3,0.5,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
2.0,10.0,1,0.2,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
2.0,10.0,1,0.3,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
2.0,10.0,1,0.5,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
2.0,10.0,2,0.3,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
2.0,10.0,2,0.5,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
2.0,10.0,3,0.3,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
2.0,10.0,3,0.5,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.0,10.0,2,0.2,4,0.2,14.0,546,0.09340659340659341,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,1,0.0
1.0,10.0,3,0.2,4,0.2,14.0,546,0.09340659340659341,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,1,0.0
1.5,10.0,2,0.2,4,0.2,14.0,546,0.09340659340659341,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,1,0.0
1.5,10.0,3,0.2,4,0.2,14.0,546,0.09340659340659341,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,1,0.0
2.0,10.0,2,0.2,4,0.2,14.0,546,0.09340659340659341,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,1,0.0
2.0,10.0,3,0.2,4,0.2,14.0,546,0.09340659340659341,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,1,0.0
1.0,3.0,1,0.2,3,0.2,14.0,714,0.08543417366946779,343,0.09620991253644315,371,0.07547169811320754,714,0.08543417366946779,0,0.0
1.0,3.0,1,0.3,3,0.2,14.0,714,0.08543417366946779,343,0.09620991253644315,371,0.07547169811320754,714,0.08543417366946779,0,0.0
1.0,3.0,1,0.5,3,0.2,14.0,714,0.08543417366946779,343,0.09620991253644315,371,0.07547169811320754,714,0.08543417366946779,0,0.0
1.0,3.0,2,0.2,3,0.2,14.0,714,0.08543417366946779,343,0.09620991253644315,371,0.07547169811320754,714,0.08543417366946779,0,0.0
1.0,3.0,2,0.3,3,0.2,14.0,714,0.08543417366946779,343,0.09620991253644315,371,0.07547169811320754,714,0.08543417366946779,0,0.0
